feature,importance,tipo,seleccionada,umbral_falsa_max
ccomisiones_otras_delta1,0.00038852147245344417,real,False,0.004158182017433896
Visa_fultimo_cierre_delta1,0.00038834846642113555,real,False,0.004158182017433896
Master_mpagominimo_delta2,0.00038613057082680167,real,False,0.004158182017433896
catm_trx_other_delta2,0.00038282869700161266,real,False,0.004158182017433896
ctransferencias_recibidas_delta2,0.0003814954672921043,real,False,0.004158182017433896
Visa_mconsumototal_delta2,0.00038102252530246983,real,False,0.004158182017433896
thomebanking_delta2,0.00037116898223688477,real,False,0.004158182017433896
Master_status_delta1,0.0003710564800944043,real,False,0.004158182017433896
Visa_mpagosdolares_lag2,0.00035612634583684946,real,False,0.004158182017433896
Master_msaldototal_delta1,0.00035362785611414986,real,False,0.004158182017433896
Visa_fultimo_cierre_delta2,0.0003453920805887288,real,False,0.004158182017433896
Visa_fechaalta_delta2,0.00034097842415516095,real,False,0.004158182017433896
active_quarter_lag2,0.00032549422904897836,real,False,0.004158182017433896
mtransferencias_emitidas_delta2,0.0003047871818031854,real,False,0.004158182017433896
mtarjeta_visa_consumo_delta1,0.00029899499774205875,real,False,0.004158182017433896
tmobile_app_delta2,0.00029826329892487373,real,False,0.004158182017433896
ctarjeta_debito_transacciones_delta2,0.00029495332818437603,real,False,0.004158182017433896
Visa_cconsumos_delta1,0.00029473418653753217,real,False,0.004158182017433896
mcaja_ahorro_dolares_percentil,0.0002881587596822181,real,False,0.004158182017433896
mtransferencias_emitidas_delta1,0.00028151051393337855,real,False,0.004158182017433896
ctarjeta_visa_transacciones_lag1,0.0002808662293316894,real,False,0.004158182017433896
matm_lag1,0.0002802305670861634,real,False,0.004158182017433896
Master_Finiciomora,0.0002796554349133206,real,False,0.004158182017433896
mextraccion_autoservicio_lag2,0.00027945273971362745,real,False,0.004158182017433896
Master_mconsumospesos_lag2,0.0002740379657041902,real,False,0.004158182017433896
Visa_cadelantosefectivo_delta1,0.00027381029501070015,real,False,0.004158182017433896
matm_lag2,0.0002701944544425032,real,False,0.004158182017433896
